Path,Gender,Age,Ethnicity,Facial Emotion,Identity
datasets_with_standard_labels\RAF-DB\train\images\00000037,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000038,0,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000039,0,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000040,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000041,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000042,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000043,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000044,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000045,1,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000046,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000047,0,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000048,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000049,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000050,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000051,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000052,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000053,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000054,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000055,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000056,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000057,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000058,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000059,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000060,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000061,0,-100.0,-100.0,2,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000062,1,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000063,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000064,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000065,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000066,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000067,0,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000068,1,-100.0,-100.0,2,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000069,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000070,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000071,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000072,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000073,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000074,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000075,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000076,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000077,0,-100.0,-100.0,2,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000078,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000079,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000080,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000081,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000082,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000083,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000084,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000085,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000086,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000087,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000088,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000089,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000090,0,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000091,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000092,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000093,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000094,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000095,0,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000096,0,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000097,0,-100.0,-100.0,2,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000098,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000099,0,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000100,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000101,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000102,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000103,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000104,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000105,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000106,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000107,0,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000108,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000109,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000110,0,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000111,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000112,0,-100.0,-100.0,2,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000113,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000114,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000115,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000116,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000117,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000118,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000119,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000120,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000121,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000122,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000123,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000124,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000125,0,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000126,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000127,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000128,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000129,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000130,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000131,1,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000132,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000133,0,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000134,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000135,0,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000136,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000137,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000138,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000139,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000140,1,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000141,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000142,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000143,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000144,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000145,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000146,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000147,1,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000148,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000149,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000150,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000151,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000152,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000153,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000154,1,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000155,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000156,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000157,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000158,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000159,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000160,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000161,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000162,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000163,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000164,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000165,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000166,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000167,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000168,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000169,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000170,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000171,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000172,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000173,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000174,0,-100.0,-100.0,2,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000175,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000176,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000177,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000178,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000179,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000180,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000181,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000182,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000183,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000184,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000185,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000186,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000187,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000188,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000189,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000190,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000191,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000192,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000193,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000194,0,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000195,0,-100.0,-100.0,2,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000196,0,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000197,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000198,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000199,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000200,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000201,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000202,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000203,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000204,0,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000205,1,-100.0,-100.0,2,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000206,1,-100.0,-100.0,2,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000207,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000208,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000209,0,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000210,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000211,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000212,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000213,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000214,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000215,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000216,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000217,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000218,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000219,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000220,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000221,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000222,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000223,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000224,0,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000225,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000226,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000227,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000228,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000229,0,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000230,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000231,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000232,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000233,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000234,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000235,0,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000236,0,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000237,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000238,0,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000239,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000240,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000241,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000242,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000243,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000244,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000245,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000246,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000247,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000248,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000249,0,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000250,0,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000251,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000252,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000253,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000254,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000255,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000256,0,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000257,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000258,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000259,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000260,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000261,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000262,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000263,0,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000264,1,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000265,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000266,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000267,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000268,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000269,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000270,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000271,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000272,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000273,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000274,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000275,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000276,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000277,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000278,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000279,0,-100.0,-100.0,2,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000280,0,-100.0,-100.0,5,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000281,0,-100.0,-100.0,2,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000282,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000283,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000284,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000285,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000286,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000287,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000288,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000289,0,-100.0,-100.0,0,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000290,0,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000291,1,-100.0,-100.0,4,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000292,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000293,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000294,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000295,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000296,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000297,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000298,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000299,0,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000300,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000301,1,-100.0,-100.0,3,-100.0
datasets_with_standard_labels\RAF-DB\train\images\00000302,1,-100.0,-100.0,3,-100.0
